الشهر;سنة;المدينة;ذكور;أناث;داخل المدينه;خارج المدينه;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;سعودى;غير سعودى;المصابين;المتوفين
11;1439;الرياض;263;50;231;82;69;60;79;62;43;161;152;1;0
12;1439;الرياض;263;38;188;113;48;72;63;84;34;163;138;1;0
1;1439;المدينه المنوره;155;21;79;97;15;36;47;41;37;96;80;1;0
2;1439;المدينه المنوره;165;22;85;102;22;40;42;47;36;88;99;1;0
3;1439;المدينه المنوره;201;26;82;145;41;47;46;52;41;111;116;1;0
4;1439;المدينه المنوره;151;41;62;130;25;38;50;42;37;105;87;1;0
5;1439;المدينه المنوره;179;29;114;94;35;39;55;41;38;97;111;1;0
6;1439;المدينه المنوره;218;41;109;150;50;69;52;49;39;135;124;1;0
7;1439;المدينه المنوره;215;37;111;141;31;57;63;59;42;140;112;1;0
8;1439;المدينه المنوره;157;33;79;111;29;61;39;42;19;107;83;1;0
9;1439;المدينه المنوره;236;79;85;230;62;68;74;50;61;119;196;1;0
10;1439;المدينه المنوره;180;53;94;139;44;56;63;39;31;86;147;1;0
11;1439;المدينه المنوره;156;42;65;133;39;63;49;32;15;83;115;1;0
12;1439;المدينه المنوره;191;38;75;154;41;68;56;37;27;111;118;1;0
1;1439;الشرقيه;134;84;142;76;26;58;65;43;26;120;98;1;0
2;1439;الشرقيه;195;79;186;88;31;83;69;53;38;129;145;1;0
3;1439;الشرقيه;179;92;158;113;29;87;76;48;31;155;116;1;0
4;1439;الشرقيه;205;89;186;108;37;98;75;46;38;176;118;1;0
5;1439;الشرقيه;182;56;162;76;29;71;65;38;35;153;85;1;0
6;1439;الشرقيه;181;48;168;61;28;68;61;42;30;161;68;1;0
7;1439;الشرقيه;215;52;216;51;31;79;68;49;40;188;79;1;0
8;1439;الشرقيه;223;53;134;142;26;74;86;62;28;185;91;1;0
9;1439;الشرقيه;176;42;122;96;21;68;57;48;24;132;86;1;0
10;1439;الشرقيه;172;52;108;116;11;68;55;59;31;138;86;1;0
11;1439;الشرقيه;168;44;84;128;19;65;53;51;24;127;85;1;0
12;1439;الشرقيه;179;69;98;150;31;79;57;52;29;143;105;1;0
1;1439;الحدود الشماليه;26;2;10;18;4;10;9;5;0;18;10;1;0
2;1439;الحدود الشماليه;33;9;18;24;4;27;7;2;2;36;6;1;0
3;1439;الحدود الشماليه;24;4;9;19;3;14;10;1;0;20;8;1;0
4;1439;الحدود الشماليه;35;7;16;26;11;16;10;3;2;32;10;1;0
5;1439;الحدود الشماليه;26;0;10;16;10;9;3;4;0;19;7;1;0
6;1439;الحدود الشماليه;30;2;15;17;7;11;10;3;1;23;9;1;0
7;1439;الحدود الشماليه;41;2;16;27;5;18;11;7;2;31;12;1;0
8;1439;الحدود الشماليه;29;1;16;14;6;9;11;2;2;24;6;1;0
9;1439;الحدود الشماليه;38;7;21;24;11;19;13;1;1;32;13;1;0
10;1439;الحدود الشماليه;40;7;22;25;10;13;15;5;4;37;10;1;0
11;1439;الحدود الشماليه;22;1;6;17;4;6;8;5;0;13;10;1;0
12;1439;الحدود الشماليه;32;10;11;31;14;11;9;8;0;19;23;1;0
1;1439;تبوك;85;6;40;51;7;51;28;4;1;66;25;1;0
2;1439;تبوك;73;3;28;48;4;34;22;9;7;57;19;1;0
3;1439;تبوك;115;14;44;85;22;54;31;12;10;107;22;1;0
4;1439;تبوك;63;4;20;47;7;27;18;7;8;52;15;1;0
5;1439;تبوك;77;15;22;70;12;24;36;9;11;68;24;1;0
6;1439;تبوك;76;8;14;70;11;31;29;8;5;56;28;1;0
7;1439;تبوك;52;5;14;43;10;29;11;4;3;45;12;1;0
8;1439;تبوك;73;4;26;51;9;35;15;8;10;64;13;1;0
9;1439;تبوك;67;15;12;70;16;29;17;9;11;56;26;1;0
10;1439;تبوك;62;11;18;55;6;14;30;13;10;58;15;1;0
11;1439;تبوك;49;13;12;50;7;13;16;12;14;41;21;1;0
12;1439;تبوك;79;8;25;62;8;19;23;21;16;62;25;1;0
1;1439;الجوف;30;4;8;26;7;11;11;4;1;24;10;1;0
2;1439;الجوف;30;6;12;24;9;11;12;4;0;32;4;1;0
3;1439;الجوف;20;5;19;6;7;8;9;0;1;15;10;1;0
4;1439;الجوف;18;2;5;15;6;8;4;2;0;18;2;1;0
5;1439;الجوف;18;2;6;14;0;10;6;4;0;14;6;1;0
6;1439;الجوف;20;3;4;19;4;7;9;3;0;19;4;1;0
7;1439;الجوف;17;4;4;17;2;4;8;7;0;12;9;1;0
8;1439;الجوف;25;2;10;17;7;9;5;6;0;17;10;1;0
9;1439;الجوف;25;1;3;23;3;10;13;0;0;16;10;1;0
10;1439;الجوف;21;5;3;23;6;9;5;5;1;20;6;1;0
11;1439;الجوف;16;3;5;14;4;10;4;1;0;18;1;1;0
12;1439;الجوف;26;11;11;26;4;10;10;11;2;25;12;1;0
1;1439;حائل;22;25;22;25;16;8;7;10;6;28;19;1;0
2;1439;حائل;49;7;28;28;8;14;13;17;4;49;7;1;0
3;1439;حائل;54;6;33;27;13;26;8;9;4;54;6;1;0
4;1439;حائل;76;3;28;51;18;29;11;18;3;72;7;1;0
5;1439;حائل;11;42;34;19;2;9;19;21;2;46;7;1;0
6;1439;حائل;60;3;54;9;2;21;25;10;5;55;8;1;0
7;1439;حائل;74;9;62;21;2;35;34;9;3;71;12;1;0
8;1439;حائل;112;14;113;13;7;59;31;19;10;115;11;1;0
9;1439;حائل;90;8;54;44;3;38;28;18;11;92;6;1;0
10;1439;حائل;115;8;57;66;21;75;12;9;6;102;21;1;0
11;1439;حائل;58;4;43;19;2;26;21;9;4;55;7;1;0
12;1439;حائل;51;11;35;27;7;18;15;13;9;53;9;1;0
1;1439;نجران;61;14;20;55;19;15;21;13;7;31;44;1;0
2;1439;نجران;49;6;5;50;13;11;15;12;4;33;22;1;0
3;1439;نجران;38;4;15;27;12;8;11;9;2;29;13;1;0
4;1439;نجران;66;2;18;50;13;21;24;9;1;41;27;1;0
5;1439;نجران;41;5;12;34;8;11;14;7;6;37;9;1;0
6;1439;نجران;62;7;20;49;17;13;19;11;9;26;43;1;0
7;1439;نجران;67;12;24;55;19;16;21;12;11;34;45;1;0
8;1439;نجران;43;5;16;32;14;9;13;10;2;29;19;1;0
9;1439;نجران;38;6;11;33;13;8;11;9;3;27;17;1;0
10;1439;نجران;34;3;10;27;11;9;6;8;3;25;12;1;0
11;1439;نجران;38;4;15;27;3;18;11;8;2;29;13;1;0
12;1439;نجران;41;8;12;37;3;21;8;10;7;31;18;1;0
1;1439;القصيم;138;15;86;67;11;56;50;22;14;100;53;1;0
2;1439;القصيم;76;13;62;27;14;26;32;10;7;50;39;1;0
3;1439;القصيم;76;28;98;6;20;25;28;15;16;60;44;1;0
4;1439;القصيم;92;13;76;29;5;25;36;29;10;60;45;1;0
5;1439;القصيم;73;12;59;26;2;25;35;12;11;50;35;1;0
6;1439;القصيم;73;12;63;22;4;25;35;11;10;50;35;1;0
7;1439;القصيم;98;28;108;18;4;34;55;19;14;90;36;1;0
8;1439;القصيم;94;14;70;38;21;33;39;7;8;65;43;1;0
9;1439;القصيم;76;25;66;35;12;35;30;15;9;66;35;1;0
10;1439;القصيم;91;30;56;65;18;11;35;38;19;50;71;1;0
11;1439;القصيم;95;19;85;29;15;24;33;27;15;55;59;1;0
12;1439;القصيم;69;9;56;22;15;20;25;10;8;55;23;1;0
1;1439;الباحه;62;16;37;41;19;27;21;5;6;67;11;1;0
2;1439;الباحه;64;3;36;31;25;21;15;3;3;53;14;1;0
3;1439;الباحه;52;15;22;45;14;28;14;6;5;59;8;1;0
4;1439;الباحه;64;3;36;31;8;37;16;2;4;57;10;1;0
5;1439;الباحه;96;10;30;76;19;57;20;8;2;82;24;1;0
6;1439;الباحه;64;3;22;45;14;27;17;5;4;56;11;1;0
7;1439;الباحه;62;20;46;36;22;32;19;5;4;76;6;1;0
8;1439;الباحه;69;4;36;37;10;30;28;4;1;49;24;1;0
9;1439;الباحه;80;4;42;42;4;42;23;8;7;59;25;1;0
10;1439;الباحه;80;9;45;44;19;43;16;5;6;75;14;1;0
11;1439;الباحه;67;11;50;28;21;40;13;4;0;73;5;1;0
12;1439;الباحه;56;21;29;48;17;33;17;7;3;62;15;1;0
1;1439;عسير;186;41;26;201;54;103;37;15;18;186;41;1;0
2;1439;عسير;203;37;28;212;81;81;46;12;20;192;48;1;0
3;1439;عسير;147;16;26;137;25;84;23;17;14;120;43;1;0
4;1439;عسير;134;17;19;132;36;53;39;11;12;124;27;1;0
5;1439;عسير;166;43;17;192;62;75;32;19;21;172;37;1;0
6;1439;عسير;128;34;16;146;33;56;36;14;23;125;37;1;0
7;1439;عسير;178;15;16;177;47;82;35;15;14;167;26;1;0
8;1439;عسير;132;17;9;140;38;55;34;8;14;131;18;1;0
9;1439;عسير;128;15;8;135;33;57;31;11;11;111;32;1;0
10;1439;عسير;187;29;17;199;45;85;63;12;11;146;70;1;0
11;1439;عسير;130;26;31;125;38;70;27;14;7;133;23;1;0
12;1439;عسير;139;44;0;183;49;74;33;18;9;140;43;1;0
1;1439;جازان;205;40;97;148;15;88;57;48;37;181;64;1;0
2;1439;جازان;174;36;76;134;16;81;46;29;38;42;168;1;0
3;1439;جازان;133;68;39;162;21;79;41;27;33;160;41;1;0
4;1439;جازان;126;54;50;130;12;80;48;21;19;146;34;1;0
5;1439;جازان;99;36;48;87;12;47;36;21;19;104;31;1;0
6;1439;جازان;118;19;60;77;14;45;31;27;20;106;31;1;0
7;1439;جازان;122;16;61;77;12;43;29;30;24;112;26;1;0
8;1439;جازان;149;24;62;111;14;34;52;42;31;128;45;1;0
9;1439;جازان;165;37;57;145;21;66;47;46;22;153;49;1;0
10;1439;جازان;137;26;42;121;14;42;37;51;19;123;40;1;0
11;1439;جازان;151;33;42;142;23;42;65;39;15;132;52;1;0
12;1439;جازان;125;19;28;116;20;40;46;26;12;93;51;1;0
1;1439;جده;194;17;152;59;14;59;62;49;27;117;94;1;0
2;1439;جده;191;15;156;50;11;61;54;39;41;114;92;1;0
3;1439;جده;254;19;210;63;21;92;71;41;48;129;144;1;0
4;1439;جده;207;21;168;60;16;79;61;36;36;116;112;1;0
5;1439;جده;185;14;159;40;12;74;61;29;23;107;92;1;0
6;1439;جده;219;22;184;57;18;86;75;33;29;129;112;1;0
7;1439;جده;181;38;151;68;15;76;61;29;38;112;107;1;0
8;1439;جده;257;41;212;86;22;89;88;55;44;138;160;1;0
9;1439;جده;285;52;271;66;25;103;92;62;55;196;141;1;0
10;1439;جده;211;49;218;42;15;89;74;48;34;132;128;1;0
11;1439;جده;200;39;176;63;17;74;55;54;39;138;101;1;0
12;1439;جده;220;34;175;79;15;96;61;44;38;156;98;1;0
1;1439;الطائف;198;72;99;171;10;86;56;85;33;218;52;1;0
2;1439;الطائف;254;36;85;205;16;61;71;112;30;210;80;1;0
3;1439;الطائف;304;61;85;280;51;114;96;74;30;302;63;1;0
4;1439;الطائف;254;32;93;193;22;64;86;91;23;220;66;1;0
5;1439;الطائف;201;46;87;160;35;80;68;45;19;142;105;1;0
6;1439;الطائف;230;41;180;91;33;74;94;45;25;184;87;1;0
7;1439;الطائف;254;25;146;133;36;85;98;29;31;187;92;1;0
8;1439;الطائف;269;31;141;159;31;73;111;54;31;206;94;1;0
9;1439;الطائف;305;78;169;214;29;112;136;56;50;284;99;1;0
10;1439;الطائف;268;41;202;107;33;95;110;56;15;266;43;1;0
11;1439;الطائف;244;45;192;97;35;55;94;64;41;255;34;1;0
12;1439;الطائف;226;51;159;118;14;75;98;75;15;247;30;1;0
1;1439;العاصمه;189;46;94;141;31;81;68;33;22;164;71;1;0
2;1439;العاصمه;180;44;98;126;28;96;48;34;18;152;72;1;0
3;1439;العاصمه;234;69;143;160;41;79;96;55;32;206;97;1;0
4;1439;العاصمه;209;50;108;151;29;74;58;54;44;179;80;1;0
5;1439;العاصمه;219;37;108;148;37;72;55;57;35;160;96;1;0
6;1439;العاصمه;180;41;92;129;25;62;67;42;25;147;74;1;0
7;1439;العاصمه;308;67;178;197;63;107;94;69;42;255;120;1;0
8;1439;العاصمه;211;54;205;60;56;65;53;53;38;192;73;1;0
9;1439;العاصمه;304;87;137;254;36;102;97;88;68;232;159;1;0
10;1439;العاصمه;219;61;100;180;31;72;80;64;33;175;105;1;0
11;1439;العاصمه;213;40;156;97;28;66;67;42;50;184;69;1;0
12;1439;العاصمه;282;56;189;149;50;83;98;72;35;215;123;1;0
1;1439;القريات;24;3;11;16;2;8;7;7;3;17;10;1;0
2;1439;القريات;32;8;21;19;9;22;7;0;2;36;4;1;0
3;1439;القريات;23;7;13;17;4;16;6;2;2;28;2;1;0
4;1439;القريات;22;1;9;14;3;14;3;0;3;20;3;1;0
5;1439;القريات;23;0;8;15;3;9;9;0;2;19;4;1;0
6;1439;القريات;14;0;7;7;11;2;0;0;1;14;0;1;0
7;1439;القريات;28;1;15;14;7;19;2;0;1;27;2;1;0
8;1439;القريات;21;1;15;7;10;5;5;2;0;19;3;1;0
9;1439;القريات;30;9;8;31;16;6;13;2;2;27;12;1;0
10;1439;القريات;15;1;6;10;1;8;5;1;1;16;0;1;0
11;1439;القريات;19;0;8;11;1;16;1;1;0;17;2;1;0
12;1439;القريات;20;2;13;9;6;6;5;2;3;16;6;1;0
;;;;;;;;;;;;;;;
